item_name
2-Benz 120 ml Lotions
2-Benz 60 ml Lotions
5-Fu 250/5 mg/ml Injections
A-Fenac Plus 75 mg 3 ml Injections
A-Flox 250 mg Capsules
A-Flox 250 mg Injections
A-Flox 500 mg Capsules
A-Flox 500 mg Injections
A-Rox 500 mg Capsules
A-Sec 1 gm Tablets
A-Sec 500 mg 30 Suspension
A-Sec 500 mg Tablets
A-Sec 750 mg Suspension
A2a 25 mg Tablets
A2a 50 mg Tablets
Abac 125 mg 60 Suspension
Abac 500 mg Capsules
Abaktal (Lek) 400 mg Infusion
Abaktal (Lek) 400 mg Tablets
Abaktal 400 mg Injections
Abaktal 400 mg Tablets
Abbocath-T Tablets
Abbocin 20/2 mg/ml Injections
Abbocin 80/2 mg/ml Injections
Abbocin Im/Iv 20 mg Injections
Abbocin Im/Iv 80 mg Injections
Abbowax 15 ml Drops
Abbutol 400 mg Tablets
Abc Plus Tablets
Abc Senior Tablets
Abdec (Parke-Davis) 10 ml Drops
Abdec (Parke-Davis) 20 ml Drops
Abgenix 20 mg Tablets
Abocain 20 ml Injections
Abocal Tablets
Abolon 25 mg/ml Injections
Abozole 400 mg Tablets
Abozole 500/100 mg/ml Injections
Abrifam 450 mg Tablets
Abrifam 600 mg Tablets
Abro 10 mg Tablets
Abxicam 10 mg Tablets
Abxicam 20 mg Tablets
Acabose 100 mg Tablets
Acabose 50 mg Tablets
Accent 10 mg Capsules
Accent 15 mg Capsules
Accion 30 mg Capsules
Accolate 20 mg Tablets
Accred 50 mg Tablets
Accu-Chek Strips
Accupril (Parke-Davis) 10 mg Tablets
Accupril (Parke-Davis) 20 mg Tablets
Accupril (Parke-Davis) 5 mg Tablets
Ace-Bex Capsules
Ace-Bex P Capsules
Aceartin-50 50 mg Tablets
Acef 125 mg Suspension
Acef 250 mg Capsules
Acef 250 mg Suspension
Acef 50 mg 15 ml Drops
Acef 500 mg Capsules
Acefyl 60 Syrups
Acefyl 90 Syrups
Acelar 10 mg Tablets
Acelar 5 mg Tablets
Acelyne 60 Syrups
Acemox 250 mg Tablets
Acenac 100 mg Tablets
Aceta Inh Tablets
Acetofen Tablets
Acetopril 25 mg Tablets
Acetosol 500 mg Tablets
Acfin-P 200 mg Tablets
Aciclovir 200 mg Tablets
Acicon 20 mg Tablets
Acicon 40 mg Tablets
Acicon 60 Suspension
Acid Off 120 Suspension
Acid-Citro 120 Syrups
Acid-Citro 450 Syrups
Acidil 400 mg Tablets
Acidran 150 mg Tablets
Acidrin 20 mg Capsules
Acimet 400 mg Tablets
Acimet 5 Suspension
Aclasta 5 mg Injections
Aclova 200 mg Tablets
Aclova Injections
Acmex 1 gm Injections
Acmex 250 mg Injections
Acnedox 50 mg Capsules
Acneklin 40 mg Vaginal Creams
Acnesafe 10 gm Creams
Acnol 100 ml Liquids
Acnol 30 gm Creams
Acoret Tablets
Acoret-P Tablets
Acozine 50 mg 50 ml Injections
Acriflavin 15 gm Ointments
Acriflavin 30 gm Creams
Acriflavin 30 gm Ointments
Acriflavin 30 ml Lotions
Acriflavin 450 ml Lotions
Acrivine 30 gm Creams
Actal Tablets
Actidil 60 ml Elixir
Actifed Dm 60 Syrups
Actifed Dm Tablets
Actifed-P 60 ml Elixir
Actifed-P Tablets
Actiflor 250 mg Sachet
Actim 10 mg Tablets
Actim 5 mg Tablets
Actonel 35 mg Tablets
Actonel 5 mg Tablets
Actrapid 10 ml Vial
Actrapid Pinfill 100/3 iu/ml Injections
Acugesic 50 mg Capsules
Acumen 250 mg Tablets
Acumen 500 mg Tablets
Acumen 60 Suspension
Acupaz Tablets
Acure 200 mg Tablets
Acuron 25 mg Injections
Acuron 50 mg Injections
Acyclovir 250 mg Injections
Acyclovir 500 mg Injections
Acylex 200 mg Tablets
Acylex 400 mg Tablets
Acylex 5 gm Ointments
Acylex 60 Suspension
Acylex 800 mg Tablets
Aczon 1 gm Injections
Aczon 250 mg Injections
Aczon 500 mg Injections
Ada-Cef 125 mg Suspension
Ada-Cef 250 mg Capsules
Ada-Cef 250 mg Suspension
Ada-Cef 500 mg Capsules
Adacip 250 mg Tablets
Adacip 500 mg Tablets
Adalat 10 mg Capsules
Adalat 20 mg Tablets
Adalat Cc 30 mg Tablets
Adalat Cc 60 mg Tablets
Adalin 120 Syrups
Adamon 2 ml Injections
Adamox 125 mg 60 Suspension
Adamox 250 mg 60 Suspension
Adamox 250 mg Capsules
Adamox 500 mg Capsules
Adenofort Injections
Adenofort Tablets
Adicos 60 Syrups
Adicos M 120 Syrups
Adicos M 60 Syrups
Adiflox 200 mg Tablets
Adios 100 ml Infusion
Adios 200 mg Tablets
Adipen 10 mg Capsules
Aditil Tablets
Adolan 100 mg Capsules
Adolan 100 mg Tablets
Adolan 100/2 mg/ml Injections
Adolan 50 mg Capsules
Adoptin 5 mg Tablets
Adoptine 5 mg Tablets
Adoxa 100 mg Tablets
Adrenaline 1 ml Injections
Adriblastina (Pharmacia) 10 mg Injections
Adriblastina (Pharmacia) 50 mg Injections
Advant 16 mg Tablets
Advant 8 mg Tablets
Advantan 10 gm Ointments
Advantec Tablets
Adwin 100 mg Tablets
Adytum 1.25 mg Tablets
Adytum 2.5 mg Tablets
Adytum 5 mg Tablets
Aerius 10 mg Tablets
Aerokast 10 mg Tablets
Aerokast 4 mg Tablets
Aerokast 5 mg Tablets
Aerolin 2 mg Tablets
Aerolin 4 mg Tablets
Aerolin 450 Syrups
Aerolin 60 Syrups
Aerolin Evohaler 200 actuations Inhalers
Aerolin Expectorant 60 Syrups
Aerotec 50 mg Tablets
Aerotel 10 mg Tablets
Aerotel 5 mg Tablets
Afixim 100 mg 30 Suspension
Afloxan 150 mg Capsules
Afloxan 150 mg Tablets
Afrazid P Tablets
Afrazid Tablets
Ag-Cef 125 mg Suspension
Ag-Cef 250 mg Capsules
Ag-Cef 250 mg Suspension
Ag-Cef 500 mg Capsules
Ag-Cin 10 ml Drops
Ag-Cin 125 mg 60 Suspension
Ag-Cin 250 mg 60 Suspension
Ag-Cin 250 mg Capsules
Ag-Cin 500 mg Capsules
Ag-Clor 125 mg 60 Suspension
Ag-Clor 250 mg 60 Suspension
Ag-Clor 250 mg Capsules
Ag-Clor 50 mg 10 ml Drops
Ag-Clor 500 mg Capsules
Ag-Drox 1 gm Tablets
Ag-Drox 125 mg 60 Suspension
Ag-Drox 250 mg 60 Suspension
Ag-Drox 500 mg Capsules
Agamid 400 mg Tablets
Agemo Capsules
Aggrastat 50 ml Injections
Agile 2 mg Tablets
Agile 4 mg Tablets
Agopton (Takeda) 15 mg Capsules
Agopton (Takeda) 30 mg Capsules
Agopton 15 mg Capsules
Agopton 30 mg Capsules
Agorid 10 mg Injections
Agrippal S1 .5 ml Vaccine
Aidra 10 mg Tablets
Aidra 100 mg Tablets
Aidra 20 mg Tablets
Aireez 10 mg Tablets
Aireez 4 mg Tablets
Aireez 5 mg Tablets
Airol 20 gm Creams
Airol 50 ml Lotions
Airtal 100 mg Tablets
Akinase Injections
Aknal 10 mg Injections
Akso-D 120 Suspension
Akso-D Tablets
Aksocain 120 Syrups
Aksocam 20 mg Capsules
Aksocil 125/5 mg/ml 60 Suspension
Aksocil 250/5 mg/ml 60 Suspension
Aksocil 500 mg Capsules
Aksodryl 120 Syrups
Aksofen 100 mg 5 Suspension
Aksofen 400 mg Tablets
Aksofenac 50 mg Tablets
Aksofenac K 50 mg Tablets
Aksolox 250 mg Tablets
Aksolox 500 mg Tablets
Aksolox 500/100 mg/ml Infusion
Aksopep 40 mg Tablets
Aksopol 60 Suspension
Aksopresor 100 mg Tablets
Aksopril 10 mg Tablets
Aksosef 125 mg Suspension
Aksosef 250 mg Capsules
Aksosef 250 mg Suspension
Aksosef 500 mg Capsules
Aksotin 10 mg Tablets
Aksoton 30 mg Capsules
Aksotran Ds 50 Suspension
Aksotran Tablets
Aksozine 10 mg Tablets
Aksozole 20 mg Capsules
Akurate 100/5 mg/ml Suspension
Akurate 400 mg Capsules
Akurate Ds 200 mg 30 Suspension
Aladin 40 mg Tablets
Alba 200 mg Tablets
Albacit 120 Syrups
Albacit 450 Syrups
Albact 200 mg Tablets
Albagen 100/5 mg/ml 10 Suspension
Albagen 200 mg Tablets
Alben 200 mg Tablets
Albendix 100 mg 10 Suspension
Albendix 200 mg 10 Suspension
Albendix 200 mg Tablets
Albendo 200 mg Tablets
Albenza 200 mg Tablets
Albrotran 400 Suspension
Albrotran 50 Suspension
Albrotran Tablets
Albumeon 20 % 100 ml Injections
Albumeon 20 % 50 ml Injections
Albumin 20 % 100 ml Injections
Albumin 20 % 50 ml Injections
Albumin 20% (Biotest/ Eastern Trade) 20 % 100 ml Injections
Albumin 20% (Biotest/ Eastern Trade) 20 % 50 ml Injections
Alcaine Oph Soln 15 ml Eye Drops
Alce 10 mg Tablets
Alce 5 mg/ml 60 Syrups
Alcit 10 mg Tablets
Alcof D 60 Syrups
Alcof E 120 Syrups
Alcof-D 60 Syrups
Alcof-E 120 Syrups
Aldactazide 25 mg Tablets
Aldactazide 50 mg Tablets
Aldactone 100 mg Tablets
Aldactone 25 mg Tablets
Aldalysine 120 Syrups
Aldalysine 450 Syrups
Aldomet 250 mg Tablets
Aldron 0.5 mg Tablets
Aldron 4 mg/ml Injections
Alegra 10 mg Tablets
Alenbit 400 mg Tablets
Alendrate 10 mg Tablets
Alendrate 70 mg Tablets
Alerde 10 mg Tablets
Alerde 60 Syrups
Alerfree 10 mg Tablets
Alergo 10 mg Tablets
Alergocit 5 mg Tablets
Alerid 10 mg Tablets
Alerid 60 Syrups
Alert 20 mg Capsules
Alertine 10 mg Tablets
Alertine 30 Syrups
Alertine 60 Syrups
Alerwise 10 mg Tablets
Alex 10 mg Tablets
Alexan (Ebewe) 100 mg Injections
Alexan (Ebewe) 500 mg Injections
Alfa-D 0.25 mcg Tablets
Alfa-D 0.5 mcg Tablets
Alfa-D 1 mcg Tablets
Alfa-D 2 mcg Drops
Alfacal 0.5 mcg Tablets
Alfadin 0.5 mcg Tablets
Algaphan Tablets
Algetin 1 mg Tablets
Algetin 120 Syrups
Algicon 120 Suspension
Algocin 250 mg Tablets
Algocin 500 mg Tablets
Alinamin-F (Takeda) Tablets
Alkacitron 120 Syrups
Alkacitron 450 Syrups
Alkymer Capsules
Allerget 10 mg Tablets
Allerget 30 Syrups
Allergex Tablets
Allergon 120 Syrups
Allerphene 120 Syrups
Allerphene 4 mg Tablets
Allerphene 450 Syrups
Allerphene 60 Syrups
Allervil 2 ml Injections
Allervil 25 mg Tablets
Allervil 50 mg Tablets
Allervil 60 Syrups
Allerwood 10 mg Tablets
Allerwood 30 Syrups
Allerwood 60 Syrups
Allorat 10 mg Tablets
Allorat 5 mg 60 Syrups
Allos 10 mg Tablets
Allos 60 ml Solutions
Almed 100/5 mg/ml 10 Suspension
Almedon 10 mg Tablets
Almedon 90 Suspension
Aloc 120 mg Tablets
Aloc 180 mg Tablets
Aloc 60 mg Capsules
Aloclair 60 ml Solutions
Alomide 5 ml Drops
Alopra 20 mg Tablets
Alor 10 mg Tablets
Alor 5 mg 60 Syrups
Aloret 5 mg Tablets
Alovac 10 Suspension
Alovac 200 mg Tablets
Alp 0.25 mg Tablets
Alpax 0.25 mg Tablets
Alpax 0.5 mg Tablets
Alphacoline 250 mg Injections
Alphagan 0.2 % 5 ml Drops
Alpram 0.5 mg Tablets
Alprox 0.5 mg Tablets
Alrin 120 mg Tablets
Alrin 180 mg Tablets
Alrin 60 mg Tablets
Altoron 25 mg Tablets
Altoron 3 ml Injections
Altoron Drops .05 ml Drops
Altoron-Ds 50 mg Tablets
Altramet 200 mg Tablets
Altramet 200/2 mg/ml Injections
Altramet 400 mg Tablets
Altramet 800 mg Tablets
Alucain 120 Suspension
Alucain Tablets
Alucid 120 Suspension
Alucid Tablets
Aluphagel 120 Suspension
Alzine (Highnoon) 10 mg Tablets
Alzine (Highnoon) 60 Syrups
Alzine 10 mg Tablets
Am-Descol 5/10 mg Tablets
Am-Descol 5/20 mg Tablets
Am-Phylline 120 Syrups
Amadol 2 ml Injections
Amalar 15 Suspension
Amalar Tablets
Amarit 1 mg Tablets
Amarit 2 mg Tablets
Amarit 3 mg Tablets
Amarit 4 mg Tablets
Amaryl 1 mg Tablets
Amaryl 2 mg Tablets
Amaryl 3 mg Tablets
Amaryl 4 mg Tablets
Amazole 20 mg Capsules
Amber 100 mg 30 Suspension
Amber 400 mg Capsules
Ambizole 60 Suspension
Ambizole Tablets
Ambutol Tablets
Amchol 120 Syrups
Amchol 450 Syrups
Amchol 60 Syrups
Amcinide 0.1 % 20 gm Creams
Amcodrin Exp. 120 Syrups
Amcodrin Exp. 450 Syrups
Amcodrin Exp. 60 Syrups
Amcof 120 Syrups
Amcof 450 Syrups
Amdaquin 150 mg 20 Suspension
Amdaquin Tablets
Amdic 50 mg Tablets
Amdipine 10 mg Tablets
Amdipine 5 mg Tablets
Amdocal 5 mg Tablets
Amecin 100 mg Injections
Amecin 25 mg Injections
Amezole 200 mg Tablets
Amezole 400 mg Tablets
Amezole 60 Suspension
Amfax 37.5 mg Tablets
Amfax 50 mg Tablets
Amgecon 120 Suspension
Amgy 5 ml Drops
Amgydex 3.5 gm Ointments
Amgydex 5 ml Drops
Amibazol 250 mg Tablets
Amibazol 60 Suspension
Amibazol Ds 500 ml Tablets
Amic 250 mg Tablets
Amic 60 Suspension
Amic Ds 500 mg Tablets
Amicil 10 ml Drops
Amicil 60 Suspension
Amifos Injections
Amika 1 gm Injections
Amika 100 mg Injections
Amika 250 mg Injections
Amika 500 mg Injections
Amikacin 1 gm Injections
Amikacin 100 mg Injections
Amikacin 250 mg Injections
Amikacin 500 mg Injections
Amikase 1.5 miu Injections
Amikaye 500 mg Injections
Amikin 100 mg Injections
Amikin 250 mg Injections
Amikin 500 mg Injections
Amikoside 100 mg Injections
Amikoside 250 mg Injections
Amikoside 500 mg Injections
Aminocid 120 Syrups
Aminoleban 500 ml Infusion
Aminomux 100 mg Capsules
Aminomux 15 mg Injections
Aminomux 30 mg Injections
Aminomux 90 mg Injections
